CRF_ID,Assessment_Date,Confidentiality_Impact,Integrity_Impact,Availability_Impact,Overall_Risk_Score,Mitigation_Measures,Assessor
CRF-2024-0001,2024-10-06,None,Medium,Low,7,Risk mitigation plan documented in change implementation plan,Sarah Johnson
CRF-2024-0002,2024-01-22,Medium,Medium,None,6,Risk mitigation plan documented in change implementation plan,Sarah Johnson
CRF-2024-0003,2024-12-15,Low,None,Medium,9,Risk mitigation plan documented in change implementation plan,Michael Chen
CRF-2024-0004,2024-11-13,Low,Low,Low,3,Risk mitigation plan documented in change implementation plan,Michael Chen
CRF-2024-0005,2024-01-13,Low,Medium,High,4,Risk mitigation plan documented in change implementation plan,Michael Chen
CRF-2024-0006,2024-03-22,None,High,None,8,Risk mitigation plan documented in change implementation plan,Sarah Johnson
CRF-2024-0007,2024-04-12,High,Medium,Medium,4,Risk mitigation plan documented in change implementation plan,Sarah Johnson
CRF-2024-0008,2024-01-13,Low,High,Medium,5,Risk mitigation plan documented in change implementation plan,Sarah Johnson
CRF-2024-0009,2024-05-22,Medium,High,Medium,1,Risk mitigation plan documented in change implementation plan,Sarah Johnson
CRF-2024-0010,2024-05-13,Low,Medium,None,2,Risk mitigation plan documented in change implementation plan,Emma Williams
CRF-2024-0011,2024-08-10,Medium,Medium,High,10,Risk mitigation plan documented in change implementation plan,Emma Williams
CRF-2024-0012,2024-02-29,High,Low,Medium,1,Risk mitigation plan documented in change implementation plan,Emma Williams
CRF-2024-0013,2024-08-11,None,Low,Medium,7,Risk mitigation plan documented in change implementation plan,Sarah Johnson
CRF-2024-0014,2024-12-06,Medium,Medium,None,5,Risk mitigation plan documented in change implementation plan,Emma Williams
CRF-2024-0015,2024-06-07,High,Medium,High,5,Risk mitigation plan documented in change implementation plan,Emma Williams
CRF-2024-0016,2024-03-06,Low,High,High,3,Risk mitigation plan documented in change implementation plan,Emma Williams
CRF-2024-0017,2024-10-18,Medium,High,None,5,Risk mitigation plan documented in change implementation plan,Michael Chen
CRF-2024-0018,2024-04-17,High,Medium,High,8,Risk mitigation plan documented in change implementation plan,Michael Chen
CRF-2024-0019,2024-12-11,Low,High,Low,2,Risk mitigation plan documented in change implementation plan,Michael Chen
CRF-2024-0020,2024-09-20,Medium,None,Low,5,Risk mitigation plan documented in change implementation plan,Sarah Johnson
CRF-2024-0021,2024-04-11,Low,None,None,4,Risk mitigation plan documented in change implementation plan,Michael Chen
CRF-2024-0022,2024-11-08,None,High,High,10,Risk mitigation plan documented in change implementation plan,Sarah Johnson
CRF-2024-0023,2024-12-22,High,High,High,4,Risk mitigation plan documented in change implementation plan,Sarah Johnson
CRF-2024-0024,2024-12-01,None,None,High,4,Risk mitigation plan documented in change implementation plan,Sarah Johnson
CRF-2024-0025,2024-12-22,High,None,Low,2,Risk mitigation plan documented in change implementation plan,Michael Chen
CRF-2024-0026,2024-03-09,High,Medium,High,10,Risk mitigation plan documented in change implementation plan,Emma Williams
CRF-2024-0027,2024-09-15,High,High,Low,8,Risk mitigation plan documented in change implementation plan,Michael Chen
CRF-2024-0028,2024-05-12,Low,Medium,High,4,Risk mitigation plan documented in change implementation plan,Michael Chen
CRF-2024-0029,2024-08-13,None,Medium,Low,5,Risk mitigation plan documented in change implementation plan,Michael Chen
CRF-2024-0030,2024-06-12,None,Low,Low,4,Risk mitigation plan documented in change implementation plan,Michael Chen
CRF-2024-0031,2024-12-21,Low,Low,None,7,Risk mitigation plan documented in change implementation plan,Michael Chen
CRF-2024-0032,2024-06-18,High,High,None,4,Risk mitigation plan documented in change implementation plan,Michael Chen
CRF-2024-0033,2024-07-18,None,High,High,1,Risk mitigation plan documented in change implementation plan,Michael Chen
CRF-2024-0034,2024-06-01,High,High,Low,8,Risk mitigation plan documented in change implementation plan,Sarah Johnson
CRF-2024-0035,2024-05-19,High,High,None,7,Risk mitigation plan documented in change implementation plan,Michael Chen
CRF-2024-0036,2024-12-08,High,Low,High,3,Risk mitigation plan documented in change implementation plan,Emma Williams
CRF-2024-0037,2024-09-30,None,High,None,2,Risk mitigation plan documented in change implementation plan,Emma Williams
CRF-2024-0038,2024-08-07,Low,High,Low,1,Risk mitigation plan documented in change implementation plan,Michael Chen
CRF-2024-0039,2024-07-13,Medium,Low,High,6,Risk mitigation plan documented in change implementation plan,Michael Chen
CRF-2024-0040,2024-07-13,Medium,High,Medium,2,Risk mitigation plan documented in change implementation plan,Michael Chen
