timestamp,user_id,application,event_type,mfa_method,ip_address,user_agent,country,session_id,risk_level,risk_reason,details,result,failure_reason,block_reason,admin_user
2025-10-26 20:20:56.261603,figueroajohn,Workday,MFA_SUCCESS,TOTP,70.143.71.233,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",UK,3a2f9772-2241-489f-871d-8afa0a43b42c,Low,,MFA verification successful using TOTP,SUCCESS,,,
2025-10-27 23:11:07.071400,garzaanthony,Azure Portal,MFA_SUCCESS,Push Notification,78.227.234.134,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",CA,bffe0824-6753-4b63-87b1-3f6cca3bb212,Low,,MFA verification successful using Push Notification,SUCCESS,,,
2025-10-22 19:49:02.906764,hoffmanjennifer,Workday,MFA_SUCCESS,TOTP,154.217.105.169,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",JP,88c3ca91-9391-42c9-8c11-e1004543471d,Low,,MFA verification successful using TOTP,SUCCESS,,,
2025-10-14 06:40:44.092330,lisa02,AWS Console,MFA_FAILED,Hardware Token,149.198.170.29,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",IN,3c0f0412-5fc2-49e6-85ba-48cd79b57238,Low,,MFA verification failed using Hardware Token,FAILURE,Too many attempts,,
2025-10-16 00:01:44.517613,susanrogers,Finance Portal,MFA_TIMEOUT,Backup Code,70.48.153.229,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",UK,40a4e404-a84f-4852-b2fc-e994f4655f27,Low,,MFA verification timed out for Backup Code,TIMEOUT,,,
2025-10-18 10:25:36.554216,cassandra07,ServiceNow,LOGIN_SUCCESS,Backup Code,7.7.61.8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",DE,c368b225-bb57-436c-84b6-aeff4ab347a5,Low,,User login successful,SUCCESS,,,
2025-10-10 00:41:52.113419,maria95,ServiceNow,SUSPICIOUS_ACTIVITY,Email,132.115.151.116,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",UK,b2eb731a-ad0a-4caa-9149-576a529ba827,High,Unusual time,Suspicious login activity detected,BLOCKED,,Automated threat detection,
2025-10-09 00:57:18.802435,kendragalloway,Workplace,LOGIN_SUCCESS,Push Notification,169.227.59.103,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",JP,0624ff63-af57-40a6-ab95-d2d99926972a,Low,,User login successful,SUCCESS,,,
2025-10-19 01:39:09.175302,xreid,Finance Portal,LOGIN_SUCCESS,Backup Code,109.175.48.85,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",JP,46a0ec01-32d9-42e3-bee4-41756efd9b98,Low,,User login successful,SUCCESS,,,
2025-10-13 22:48:24.223760,jacqueline19,Confluence,MFA_FAILED,Hardware Token,143.170.251.114,"Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",SG,2f7fa1e5-5247-44e7-99a9-d276d51aac48,Low,,MFA verification failed using Hardware Token,FAILURE,Device not recognized,,
