137.32.74.28 - - [30/Oct/2025:13:21:33] "GET /cart.do?action=purchase&itemId=EST-6 HTTP 1.1" 200 1675 "http://www.buttercupgames.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1835
197.14.29.37 - - [26/Oct/2025:07:12:38] "POST /category.screen?categoryId=ACCESSORIES HTTP 1.1" 200 1186 "http://www.buttercupgames.com/cart.do?action=purchase&itemId=EST-6" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 968
203.39.105.188 - - [16/Oct/2025:09:03:01] "POST /cart.do?action=purchase&itemId=EST-6 HTTP 1.1" 200 2605 "http://www.buttercupgames.com/category.screen?categoryId=ACCESSORIES" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1" 1259
208.40.159.204 - - [14/Oct/2025:22:16:26] "GET /category.screen?categoryId=ACCESSORIES HTTP 1.1" 302 2800 "http://www.bing.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1508
196.198.186.18 - - [31/Oct/2025:11:30:22] "GET /category.screen?categoryId=SHOOTER HTTP 1.1" 200 3710 "http://www.buttercupgames.com/product.screen?productId=MB-AG-G07" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1" 588
114.47.21.170 - - [17/Oct/2025:22:38:26] "POST /cart.do?action=purchase&itemId=EST-6 HTTP 1.1" 200 4348 "http://www.bing.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1443
101.191.164.151 - - [19/Oct/2025:21:19:52] "GET /oldlink?itemId=EST-19 HTTP 1.1" 200 1704 "http://www.bing.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 123
70.142.242.54 - - [26/Oct/2025:02:24:29] "POST /cart/success.do HTTP 1.1" 200 4300 "http://www.buttercupgames.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 1326
16.147.230.88 - - [27/Oct/2025:16:13:13] "POST /category.screen?categoryId=SHOOTER HTTP 1.1" 200 4781 "http://www.buttercupgames.com" "Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36" 601
87.145.74.85 - - [25/Oct/2025:20:03:10] "GET /cart/success.do HTTP 1.1" 200 4112 "http://www.google.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" 561
132.38.86.90 - - [06/Nov/2025:11:03:32] "POST /oldlink?itemId=EST-19 HTTP 1.1" 200 2598 "http://www.bing.com" "Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36" 825
43.162.64.87 - - [31/Oct/2025:18:19:41] "POST /cart.do?action=purchase&itemId=EST-6 HTTP 1.1" 200 1536 "http://www.buttercupgames.com" "Mozilla/5.0 (Linux; Android 10; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36" 517
190.127.220.52 - - [04/Nov/2025:17:08:03] "POST /product.screen?productId=SF-BVS-G01 HTTP 1.1" 200 4697 "http://www.bing.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1" 1624
