ISO Control,SOC2 Control,Evidence from SOC2
"5.1 Policies for information security","CC1.1","The entity demonstrates a commitment to integrity and ethical values through establishment of standards of conduct"
"5.2 Information security roles and responsibilities","CC1.3","The board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control"
"5.2 Information security roles and responsibilities","CC1.4","Management establishes structures, reporting lines, and appropriate authorities and responsibilities"
"5.3 Segregation of duties","CC1.4","Management establishes structures, reporting lines, and appropriate authorities and responsibilities for segregation of duties"
"5.4 Management responsibilities","CC1.5","The entity holds individuals accountable for their internal control responsibilities"
"5.5 Contact with authorities","CC2.1","The entity obtains or generates and uses relevant, quality information to support the functioning of internal control"
"5.6 Contact with special interest groups","CC2.1","The entity obtains or generates and uses relevant, quality information from special interest groups"
"5.7 Threat intelligence","CC3.2","The entity identifies risks to the achievement of its objectives and analyzes risks including threat intelligence"
"5.8 Information security in project management","CC1.4","Management establishes project management structures with appropriate security considerations"
"5.9 Inventory of information and other associated assets","CC3.1","The entity specifies objectives including maintaining an inventory of information assets"
"5.10 Acceptable use of information","CC9.2","The entity assesses and manages risks associated with vendors and business partners including acceptable use"
"5.11 Return of assets","CC1.2","The board of directors demonstrates independence including asset return procedures"
"5.12 Classification of information","CC6.1","The entity implements logical and physical access controls including information classification"
"5.13 Labelling of information","CC6.1","The entity implements logical access controls including information labeling requirements"
"5.14 Information transfer","CC6.6","The entity restricts the transmission, movement, and removal of information"
"5.15 Access control","CC6.1","The entity implements logical and physical access controls"
"5.16 Identity management","CC6.2","Prior to issuing system credentials the entity registers and authorizes new users"
"5.17 Authentication information","CC6.1","The entity implements logical access controls including authentication"
"5.18 Access rights","CC6.3","The entity authorizes, modifies, or removes access based on roles and responsibilities"
"5.19 Information security in supplier relationships","CC9.2","The entity assesses and manages risks associated with vendors and business partners"
"5.20 Addressing information security within supplier agreements","CC9.2","The entity assesses vendor compliance with security requirements in agreements"
"5.21 Managing information security in the ICT supply chain","CC9.2","The entity manages ICT supply chain security risks"
"5.22 Monitoring, review and change management of supplier services","CC9.2","The entity monitors vendor performance and compliance"
"5.23 Information security for use of cloud services","CC9.2","The entity assesses cloud service provider security"
"5.24 Information security incident management planning","A1.16","The entity identifies and manages security incidents"
"5.25 Assessment and decision on information security events","A1.16","The entity assesses events to determine if they are security incidents"
"5.26 Response to information security incidents","A1.16","The entity responds to identified security incidents"
"5.27 Learning from information security incidents","A1.16","The entity analyzes incidents for improvements"
"5.28 Collection of evidence","A1.16","The entity collects and preserves evidence related to security events"
"5.29 Information security during disruption","A1.11","The entity maintains security during business disruption"
"5.30 ICT readiness for business continuity","A1.11","The entity maintains ICT continuity capabilities"
"5.31 Legal, statutory, regulatory and contractual requirements","CC2.3","The entity communicates with relevant external parties regarding legal requirements"
"5.32 Intellectual property rights","CC1.1","The entity demonstrates commitment to legal compliance including IP rights"
"5.33 Protection of records","CC6.7","The entity restricts access to records and protects retention"
"5.34 Privacy and protection of PII","P1.1","The entity provides notice to data subjects about privacy practices"
"5.35 Independent review of information security","CC4.1","The entity selects and develops control activities including independent reviews"
"5.36 Compliance with policies","CC5.1","The entity monitors compliance with policies and procedures"
"5.37 Documented operating procedures","CC5.2","The entity maintains documented procedures for operations"
"6.1 Screening","CC1.4","Management establishes appropriate screening procedures for personnel"
"6.2 Terms and conditions of employment","CC1.1","The entity establishes terms of employment including security responsibilities"
"6.3 Information security awareness, education and training","CC1.4","Management provides security awareness and training to personnel"
"6.4 Disciplinary process","CC1.5","The entity holds individuals accountable through disciplinary processes"
"6.5 Responsibilities after termination","CC6.2","The entity removes access upon termination"
"6.6 Confidentiality or non-disclosure agreements","CC1.1","The entity requires confidentiality agreements"
"6.7 Remote working","CC6.8","The entity implements controls for remote access"
"6.8 Information security event reporting","A1.16","The entity requires reporting of security events"
"7.1 Physical security perimeters","CC6.4","The entity restricts physical access to facilities"
"7.2 Physical entry","CC6.4","The entity controls physical entry to secure areas"
"7.3 Securing offices, rooms and facilities","CC6.4","The entity implements physical security for facilities"
"7.4 Physical security monitoring","CC6.4","The entity monitors physical access"
"7.5 Protecting against physical and environmental threats","CC6.5","The entity implements controls against environmental threats"
"7.6 Working in secure areas","CC6.4","The entity controls work in secure areas"
"7.7 Clear desk and clear screen","CC6.1","The entity implements clear desk and screen policies"
"7.8 Equipment siting and protection","CC6.5","The entity protects equipment from environmental threats"
"7.9 Security of assets off-premises","CC6.4","The entity protects off-site assets"
"7.10 Storage media","CC6.7","The entity manages storage media throughout lifecycle"
"7.11 Supporting utilities","CC6.5","The entity protects against utility failures"
"7.12 Cabling security","CC6.5","The entity protects cabling infrastructure"
"7.13 Equipment maintenance","CC6.5","The entity maintains equipment appropriately"
"7.14 Secure disposal or re-use of equipment","CC6.7","The entity securely disposes of equipment and media"
"8.1 User end point devices","CC6.8","The entity implements endpoint security controls"
"8.2 Privileged access rights","CC6.3","The entity manages privileged access appropriately"
"8.3 Information access restriction","CC6.1","The entity restricts information access based on roles"
"8.4 Access to source code","CC6.1","The entity restricts access to source code"
"8.5 Secure authentication","CC6.1","The entity implements secure authentication mechanisms"
"8.6 Capacity management","A1.11","The entity manages system capacity"
"8.7 Protection against malware","CC6.8","The entity implements malware protection"
"8.8 Management of technical vulnerabilities","CC7.1","The entity identifies and manages system vulnerabilities"
"8.9 Configuration management","CC7.1","The entity manages system configurations"
"8.10 Information deletion","CC6.7","The entity deletes information when no longer required"
"8.11 Data masking","P3.1","The entity implements data masking for sensitive data"
"8.12 Data leakage prevention","CC6.6","The entity prevents unauthorized data disclosure"
"8.13 Information backup","A1.12","The entity maintains and tests backup copies"
"8.14 Redundancy of information processing facilities","A1.11","The entity implements redundancy for availability"
"8.15 Logging","CC7.1","The entity logs and monitors system activities"
"8.16 Monitoring activities","CC7.1","The entity monitors for anomalous activities"
"8.17 Clock synchronization","CC7.1","The entity synchronizes system clocks"
"8.18 Use of privileged utility programs","CC6.3","The entity controls use of privileged utilities"
"8.19 Installation of software on operational systems","CC8.1","The entity manages changes to systems including software installation"
"8.20 Networks security","CC6.6","The entity implements network security controls"
"8.21 Security of network services","CC6.6","The entity secures network services"
"8.22 Segregation of networks","CC6.6","The entity segregates networks appropriately"
"8.23 Web filtering","CC6.6","The entity filters web access to prevent malicious content"
"8.24 Use of cryptography","CC6.1","The entity uses encryption to protect data"
"8.25 Secure development life cycle","CC8.1","The entity follows secure development practices"
"8.26 Application security requirements","CC8.1","The entity defines application security requirements"
"8.27 Secure system architecture and engineering principles","CC8.1","The entity applies secure architecture principles"
"8.28 Secure coding","CC8.1","The entity applies secure coding standards"
"8.29 Security testing in development and acceptance","CC8.1","The entity performs security testing"
"8.30 Outsourced development","CC9.2","The entity manages outsourced development security"
"8.31 Separation of development, test and production environments","CC8.1","The entity separates development and production environments"
"8.32 Change management","CC8.1","The entity manages changes to information systems"
"8.33 Test information","CC8.1","The entity protects test data appropriately"
"8.34 Protection of information systems during audit testing","CC4.2","The entity protects systems during audit activities"
