"Control ID","Control Title","Control Description","Expected Evidence","Data Categorization"
"5.1","Policies for information security","Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.","Policy documents; Approval records; Communication/training records; Review meeting minutes","Unstructured"
"5.2","Information security roles and responsibilities","Information security roles and responsibilities shall be defined and allocated according to the organization needs.","Role descriptions; Organization charts; RACI matrices; Assignment letters","Mixed (Structured/Semi-structured/Unstructured)"
"5.3","Segregation of duties","Conflicting duties and conflicting areas of responsibility shall be segregated.","Segregation of duties matrix; Role definitions; Access control lists","Structured"
"5.4","Management responsibilities","Management at all levels shall demonstrate leadership and commitment with respect to information security.","Documented procedures; Records of implementation; Review/approval evidence","Unstructured"
"5.5","Contact with authorities","The organization shall establish and maintain contact with relevant authorities.","Documented procedures; Records of implementation; Review/approval evidence","Unstructured"
"5.6","Contact with special interest groups","The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.","Documented procedures; Records of implementation; Review/approval evidence","Unstructured"
"5.7","Threat intelligence","Information relating to information security threats shall be collected and analysed to produce threat intelligence.","Documented procedures; Records of implementation; Review/approval evidence","Unstructured"
"5.8","Information security in project management","Information security shall be integrated into project management.","Project plans; Risk assessments; Security requirements documents","Semi-structured"
"5.9","Inventory of information and other associated assets","An inventory of information and other associated assets, including owners, shall be developed and maintained.","Asset inventory; Configuration management database (CMDB); Asset registers","Structured"
"5.10","Acceptable use of information and other associated assets","Rules for the acceptable use and procedures for handling information and other associated assets shall be identified, documented and implemented.","Documented procedures; Records of implementation; Review/approval evidence","Unstructured"
"5.11","Return of assets","Personnel and other interested parties as appropriate shall return all the organizational assets in their possession upon change or termination of their employment, contract or agreement.","Documented procedures; Records of implementation; Review/approval evidence","Unstructured"
"5.12","Classification of information","Information shall be classified according to the information security needs of the organization based on confidentiality, integrity, availability and relevant interested party requirements.","Classification scheme; Labeled assets; Handling procedures","Mixed (Structured/Semi-structured/Unstructured)"
"5.13","Labelling of information","An appropriate set of procedures for information labelling shall be developed and implemented in accordance with the information classification scheme adopted by the organization.","Documented procedures; Records of implementation; Review/approval evidence","Unstructured"
"5.14","Information transfer","Information transfer rules, procedures, or agreements shall be in place for all types of transfer facilities within the organization and between the organization and other parties.","Documented procedures; Records of implementation; Review/approval evidence","Unstructured"
"5.15","Access control","Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.","Access control lists; Authorization forms; Access logs; Review records","Structured"
